TeamID,TeamName,ShortName,Country,Founded,National,UUID
717,Numancia,NUM,Spain,1945.0,False,Spain_717
800,Ucam Murcia,,Spain,2009.0,False,Spain_800
861,Rayo Majadahonda,,Spain,1976.0,False,Spain_861
3721,Baník Sokolov,SOK,Czech-Republic,1948.0,False,Czech-Republic_3721
5253,CF Talavera,,Spain,2011.0,False,Spain_5253
5277,Sant Andreu,SAN,Spain,1909.0,False,Spain_5277
5278,Teruel,,Spain,1945.0,False,Spain_5278
5282,Villanovense,VIL,Spain,1992.0,False,Spain_5282
7306,Karlovy Vary,KAR,Czech-Republic,1928.0,False,Czech-Republic_7306
7317,Mariánské Lázně,,Czech-Republic,1945.0,False,Czech-Republic_7317
7318,Meteor Praha,MET,Czech-Republic,,False,Czech-Republic_7318
7320,Neratovice-Byškovice,,Czech-Republic,2006.0,False,Czech-Republic_7320
7327,Olympie Březová,,Czech-Republic,,False,Czech-Republic_7327
7328,Ostrov,,Czech-Republic,,False,Czech-Republic_7328
7335,Přední Kopanina,,Czech-Republic,,False,Czech-Republic_7335
7342,Slaný,,Czech-Republic,,False,Czech-Republic_7342
7382,Český Brod,CES,Czech-Republic,1898.0,False,Czech-Republic_7382
7386,Štětí,STE,Czech-Republic,,False,Czech-Republic_7386
7522,Antoniano,,Spain,,False,Spain_7522
9381,Atlético Baleares,BAL,Spain,1942.0,False,Spain_9381
9384,Cacereño,CAC,Spain,1919.0,False,Spain_9384
9386,Escobedo,,Spain,1917.0,False,Spain_9386
9411,SD Logroñés,SDL,Spain,2009.0,False,Spain_9411
9572,Getafe II,GET,Spain,,False,Spain_9572
9593,Sabadell,SAB,Spain,1903.0,False,Spain_9593
9610,Deportivo La Coruña II,,Spain,1906.0,False,Spain_9610
9632,Real Avilés,,Spain,1903.0,False,Spain_9632
9736,Real Ávila,,Spain,,False,Spain_9736
9879,Barbastro,,Spain,1934.0,False,Spain_9879
9891,Utebo,,Spain,,False,Spain_9891
15315,La Unión Atlético,,Spain,2010.0,False,Spain_15315
15348,Torrent,,Spain,,False,Spain_15348
15358,Estepona,,Spain,,False,Spain_15358
19425,Hřebeč,,Czech-Republic,,False,Czech-Republic_19425
19439,Újezd Praha 4,,Czech-Republic,,False,Czech-Republic_19439
19640,Admira Praha II,,Czech-Republic,,False,Czech-Republic_19640
21985,Tempo Praha,,Czech-Republic,,False,Czech-Republic_21985
22142,Real Madrid III,,Spain,,False,Spain_22142
24194,Ústí nad Labem II,,Czechia,,False,Czechia_24194
24572,Eibar II,,Spain,1994.0,False,Spain_24572
